BindingEnergy_eV,Intensity
412.00,2562.5
412.40,2637.5
412.80,2712.5
413.20,2437.5
413.60,2387.5
414.00,2500.0
414.40,2387.5
414.80,2750.0
415.20,2350.0
415.60,2475.0
416.00,2612.5
416.40,2325.0
416.80,2487.5
417.20,2537.5
417.60,2300.0
418.00,2575.0
418.40,2225.0
418.80,2462.5
419.20,2025.0
419.60,2250.0
420.00,2300.0
420.40,2412.5
420.80,2287.5
421.20,2300.0
421.60,2212.5
422.00,2212.5
422.40,2187.5
422.80,2462.5
423.20,2375.0
423.60,2250.0
424.00,2575.0
424.40,2825.0
424.80,2437.5
425.20,2825.0
425.60,2387.5
426.00,2800.0
426.40,2300.0
426.80,2237.5
427.20,2412.5
427.60,2462.5
428.00,2437.5
428.40,2475.0
428.80,2375.0
429.20,2337.5
429.60,2112.5
430.00,2512.5
430.40,2400.0
430.80,2200.0
431.20,2387.5
431.60,2475.0
432.00,2650.0
432.40,1925.0
432.80,2375.0
433.20,2350.0
433.60,2287.5
434.00,2662.5
434.40,2325.0
434.80,2487.5
435.20,2287.5
435.60,2575.0
436.00,2450.0
436.40,2362.5
436.80,2500.0
437.20,2400.0
437.60,2350.0
438.00,2487.5
438.40,2475.0
438.80,2287.5
439.20,2400.0
439.60,2525.0
440.00,2637.5
440.40,2300.0
440.80,2550.0
441.20,2175.0
441.60,2700.0
442.00,2162.5
442.40,2475.0
442.80,2412.5
443.20,2437.5
443.60,2750.0
444.00,2537.5
444.40,2637.5
444.80,2425.0
445.20,2275.0
445.60,2225.0
446.00,2225.0
446.40,2387.5
446.80,2487.5
447.20,2412.5
447.60,2587.5
448.00,2337.5
448.40,2587.5
448.80,2525.0
449.20,2600.0
449.60,2325.0
450.00,2412.5
450.40,2237.5
450.80,2737.5
451.20,2425.0
451.60,2512.5
452.00,2562.5
452.40,2212.5
452.80,2350.0
453.20,2187.5
453.60,2450.0
454.00,2362.5
454.40,2425.0
454.80,2212.5
455.20,2525.0
455.60,2337.5
456.00,2425.0
456.40,2525.0
456.80,2250.0
457.20,2450.0
457.60,2600.0
458.00,2287.5
458.40,2350.0
458.80,2487.5
459.20,2287.5
459.60,2225.0
460.00,2337.5
460.40,2362.5
460.80,2362.5
461.20,2312.5
461.60,2062.5
462.00,2525.0
462.40,2375.0
462.80,2087.5
463.20,2700.0
463.60,2000.0
464.00,2512.5
464.40,2137.5
464.80,2225.0
465.20,2337.5
465.60,1975.0
466.00,2412.5
466.40,2175.0
466.80,2375.0
467.20,2350.0
467.60,2275.0
468.00,2387.5
468.40,2387.5
468.80,2150.0
469.20,2312.5
469.60,2562.5
470.00,2300.0
470.40,2537.5
470.80,2462.5
471.20,2425.0
471.60,2550.0
472.00,2287.5
472.40,2300.0
472.80,2237.5
473.20,2050.0
473.60,2200.0
474.00,2100.0
474.40,2162.5
474.80,2025.0
475.20,2437.5
475.60,2175.0
476.00,2462.5
476.40,2225.0
476.80,2312.5
477.20,2287.5
477.60,2012.5
478.00,2150.0
478.40,2525.0
478.80,2162.5
479.20,2550.0
479.60,2337.5
480.00,2525.0
480.40,2237.5
480.80,2312.5
481.20,2437.5
481.60,2200.0
482.00,2675.0
482.40,2225.0
482.80,2700.0
483.20,2212.5
483.60,2375.0
484.00,2450.0
484.40,2262.5
484.80,2575.0
485.20,2412.5
485.60,2400.0
486.00,1775.0
486.40,2325.0
486.80,2100.0
487.20,2362.5
487.60,2312.5
488.00,1925.0
488.40,2312.5
488.80,2300.0
489.20,2062.5
489.60,2450.0
490.00,2275.0
490.40,2562.5
490.80,2150.0
491.20,2350.0
491.60,2212.5
492.00,2712.5
492.40,2100.0
492.80,2350.0
493.20,2087.5
493.60,2475.0
494.00,2275.0
494.40,2187.5
494.80,2100.0
495.20,2475.0
495.60,2675.0
496.00,2137.5
496.40,2537.5
496.80,2112.5
497.20,2262.5
497.60,2375.0
498.00,2112.5
498.40,2525.0
498.80,2262.5
499.20,2325.0
499.60,2437.5
500.00,2125.0
500.40,2275.0
500.80,2237.5
501.20,2137.5
501.60,2037.5
502.00,2000.0
502.40,2237.5
502.80,2350.0
503.20,2387.5
503.60,2162.5
504.00,2337.5
504.40,2150.0
504.80,2112.5
505.20,2287.5
505.60,2437.5
506.00,2350.0
506.40,2187.5
506.80,2187.5
507.20,2562.5
507.60,2350.0
508.00,2375.0
508.40,2287.5
508.80,2400.0
509.20,2287.5
509.60,2512.5
510.00,2350.0
510.40,2250.0
510.80,2525.0
511.20,2225.0
511.60,2312.5
512.00,2212.5
512.40,2075.0
512.80,2562.5
513.20,2137.5
513.60,2212.5
514.00,2150.0
514.40,2262.5
514.80,2250.0
515.20,2162.5
515.60,2162.5
516.00,2500.0
516.40,2100.0
516.80,2250.0
517.20,2425.0
517.60,2100.0
518.00,2287.5
518.40,2187.5
518.80,2237.5
519.20,2250.0
519.60,2187.5
520.00,2175.0
520.40,2275.0
520.80,2362.5
521.20,2537.5
521.60,2362.5
522.00,2700.0
522.40,2112.5
522.80,2375.0
523.20,2350.0
523.60,2250.0
524.00,2462.5
524.40,2700.0
524.80,2350.0
525.20,2225.0
525.60,2150.0
526.00,2500.0
526.40,2412.5
526.80,2225.0
527.20,2587.5
527.60,2412.5
528.00,2462.5
528.40,2437.5
528.80,2700.0
529.20,2625.0
529.60,2512.5
530.00,2537.5
530.40,2350.0
530.80,2525.0
531.20,2437.5
531.60,2400.0
532.00,2487.5
532.40,2675.0
532.80,2587.5
533.20,2850.0
533.60,2987.5
534.00,2987.5
534.40,3087.5
534.80,2862.5
535.20,3050.0
535.60,2912.5
536.00,2912.5
536.40,2850.0
536.80,2837.5
537.20,3087.5
537.60,2775.0
538.00,2500.0
538.40,2475.0
538.80,2200.0
539.20,2350.0
539.60,2162.5
540.00,2087.5
540.40,2250.0
540.80,2262.5
541.20,2437.5
541.60,2325.0
542.00,2412.5
542.40,2475.0
542.80,2262.5
543.20,2637.5
543.60,2387.5
544.00,2412.5
544.40,2625.0
544.80,2437.5
545.20,2312.5
545.60,2537.5
546.00,2312.5
546.40,2525.0
546.80,2512.5
547.20,2525.0
547.60,2325.0
548.00,2600.0
548.40,2562.5
548.80,2750.0
549.20,2737.5
549.60,2387.5
550.00,2987.5
550.40,2550.0
550.80,2762.5
551.20,2825.0
551.60,2787.5
552.00,2962.5
552.40,3362.5
552.80,3037.5
553.20,3762.5
553.60,3637.5
554.00,3825.0
554.40,4287.5
554.80,4100.0
555.20,4200.0
555.60,4587.5
556.00,4400.0
556.40,3975.0
556.80,4150.0
557.20,4137.5
557.60,3800.0
558.00,3712.5
558.40,3737.5
558.80,3375.0
559.20,3637.5
559.60,3425.0
560.00,3637.5
560.40,3612.5
560.80,3612.5
561.20,4025.0
561.60,3950.0
562.00,4012.5
562.40,4437.5
562.80,4187.5
563.20,3987.5
563.60,3812.5
564.00,3487.5
564.40,2875.0
564.80,3625.0
565.20,2812.5
565.60,2837.5
566.00,2825.0
566.40,2737.5
566.80,2875.0
567.20,2425.0
567.60,2762.5
568.00,2662.5
568.40,2900.0
568.80,2687.5
569.20,2762.5
569.60,2825.0
570.00,2950.0
570.40,3012.5
570.80,2700.0
571.20,2525.0
571.60,3012.5
572.00,2637.5
572.40,2912.5
572.80,2925.0
573.20,2600.0
573.60,2975.0
574.00,2825.0
574.40,2875.0
574.80,2650.0
575.20,3037.5
575.60,2775.0
576.00,2712.5
576.40,2862.5
576.80,3100.0
577.20,2850.0
577.60,2862.5
578.00,2975.0
578.40,2825.0
578.80,2962.5
579.20,3150.0
579.60,3087.5
580.00,2662.5
580.40,3037.5
580.80,2825.0
581.20,3212.5
581.60,2900.0
582.00,3150.0
582.40,2937.5
582.80,3287.5
583.20,3375.0
583.60,3212.5
584.00,3212.5
584.40,3075.0
584.80,2837.5
585.20,3625.0
585.60,2887.5
586.00,3387.5
586.40,2975.0
586.80,3512.5
587.20,3175.0
587.60,3462.5
588.00,3175.0
588.40,2825.0
588.80,3150.0
589.20,3000.0
589.60,2925.0
590.00,2825.0
590.40,2862.5
590.80,3250.0
591.20,2862.5
591.60,2850.0
592.00,3025.0
592.40,2937.5
592.80,2912.5
593.20,3000.0
593.60,2850.0
594.00,2837.5
594.40,2662.5
594.80,2862.5
595.20,2700.0
595.60,3087.5
596.00,3137.5
596.40,2975.0
596.80,2825.0
597.20,2837.5
597.60,2900.0
598.00,3112.5
598.40,3125.0
598.80,2950.0
599.20,2825.0
599.60,3075.0
600.00,2750.0
600.40,3275.0
600.80,2775.0
601.20,3025.0
601.60,2962.5
602.00,2812.5
602.40,2612.5
602.80,2525.0
603.20,2925.0
603.60,2812.5
604.00,3150.0
604.40,3000.0
604.80,2887.5
605.20,2962.5
605.60,2537.5
606.00,2937.5
606.40,2700.0
606.80,2887.5
607.20,3275.0
607.60,3262.5
608.00,2937.5
608.40,3162.5
608.80,3012.5
